// DXCC prefix data. Incomplete,but a starting point.
// Derived from https://github.com/k0swe/dxcc-json
// Thanks,K0SWE. Then big-cty.dat from AD1C used to
// augment the prefixes
//
1,^(V[A-GXY]|X[J-KL-O]|C[FGJKYZ]),Canada
2,,Abu Ail Islands (Deleted)
3,^(YA|T6),Afghanistan
4,^3B[67],Agalega & Saint Brandon Islands
5,^O[F-I]0,Aland Islands
6,^[AKNW]L,Alaska
7,^ZA,Albania
8,^VQ9,Aldabra (Deleted)
9,^[AKNW]H8,American Samoa
10,^FT[0-8]Z,Amsterdam & Saint Paul Islands
11,^VU4,Andaman & Nicobar Islands
12,^VP2E,Anguilla
13,^(CE9|KC4|RI1),Antarctica
14,^EK,Armenia
15,^(R[089]|R[ACDEFGIJKLMNOQTUVWXYZ][089]|U[089]|U[ABCDEFGHI][089]),Asiatic Russia
16,^ZL9,New Zealand Subantarctic Islands
17,^(4M|YV|YW|YX)0,Aves Island
18,^4[JK],Azerbaijan
19,^HK0,Bajo Nuevo (Deleted)
20,^[AKNW]H1,Baker & Howland Islands
21,^(A[M-O]|E[A-H])6,Balearic Islands
22,^T8,Palau
23,,Blenheim Reef (Deleted)
24,^3Y,Bouvet Island
25,^ZC5,British North Borneo (Deleted)
26,^VQ6,British Somaliland (Deleted)
27,^E[U-W],Belarus
28,^KZ5,Canal Zone (Deleted)
29,^(A[M-O]|E[A-H])8,Canary Islands
30,^PK6,Celebes & Molucca Islands (Deleted)
31,^T31,Central Kiribati
32,^(A[M-O]|E[A-H])9,Ceuta & Melilla
33,^VQ9,Chagos Islands
34,^Z[LM]7,Chatham Island
35,^(AX9X|VI9X|VK9X|VZ9X),Christmas Island
36,^(FO|TX),Clipperton Island
37,^T[EI]9,Cocos Island
38,^(AX9C|AX9Y|VI9C|VI9Y|VK9C|VK9Y|VZ9Y),Cocos (Keeling) Islands
39,^F(H|B8),Comoro Islands (Deleted)
40,^(S[V-Z]|J4)9,Crete
41,^FT[0-9]W,Crozet Island
42,^CR8,Damao, Diu (Deleted)
43,^[KNW]P5,Desecheo Island
44,^VQ9,Desroches (Deleted)
45,^(S[V-Z]|J4)5,Dodecanese
46,^9[MW][68],East Malaysia
47,^(3G|C[A-E]|X[Q-R])0,Easter Island
48,^T32,Eastern Kiribati
49,^3C,Equatorial Guinea
50,^(4[A-C]|6[D-J]|X[A-I]),Mexico
51,^E3,Eritrea
52,^ES,Estonia
53,^(9E|9F|ET),Ethiopia
54,^(U[A-I][1-7]|U1|R[A-Z0-7]),European Russia
55,^VQ9,Farquhar (Deleted)
56,^(P[P-Y]0|Z[V-Z]0)Z*F,Fernando de Noronha
57,^FQ8,French Equatorial Africa (Deleted)
58,^FI8,French Indo-China (Deleted)
59,^FF,French West Africa (Deleted)
60,^C6,Bahamas
61,^R11F,Franz Josef Land
62,^8P,Barbados
63,^(FY|TO),French Guiana
64,^VP9,Bermuda
65,^VP2V,British Virgin Islands
